TVShowId,GenreId
206559,10766
93405,10759
93405,9648
93405,18
94722,10763
2734,80
2734,18
2734,9648
257048,10766
257048,18
251691,18
251691,10751
257064,10766
257064,18
257064,35
205582,10763
274717,10763
13008,10763
13008,35
112470,10766
112470,18
237478,10766
237478,18
237478,9648
242722,18
242722,10751
278181,99
249010,10766
91363,16
91363,10759
91363,10765
248890,10764
456,10751
456,16
456,35
260695,18
4614,80
4614,18
4614,10759
6883,10763
1416,18
36361,18
36361,35
256121,18
256121,10759
57706,35
57706,10759
57706,16
57706,10765
46952,18
46952,80
46952,9648
235484,10766
549,80
549,18
3034,18
3034,80
4057,80
4057,18
4057,9648
79744,80
79744,18
79744,35
73586,37
73586,18
235493,10764
72879,80
72879,18
236994,16
236994,10759
236994,35
236994,10765
262969,10766
262969,18
261121,18
262831,10751
262831,35
262831,18
291,10766
42912,16
42912,10765
278600,99
204082,10764
91759,10751
91759,35
91759,18
81329,10766
273911,18
273911,10751
273911,35
273042,10751
125988,10765
125988,18
71712,18
32692,80
32692,18
242931,10759
242931,18
242931,10768
242931,10751
60735,18
60735,10765
275464,18
275464,10751
275464,9648
61818,10767
61818,35
46260,16
46260,10759
46260,10765
247885,35
247885,18
247885,10751
247885,10762
247885,10759
115472,10763
115472,99
115472,10767
76479,10765
76479,10759
239526,18
52910,10764
262831,10751
262831,35
262831,18
76479,10765
76479,10759
61818,10767
61818,35
1408,18
1408,9648
1408,35
2288,10759
2288,80
2288,18
4589,35
1622,18
1622,9648
1622,10765
42912,16
42912,10765
131041,16
131041,10759
131041,18
1433,16
1433,35
4604,10765
4604,10759
4604,18
44317,10765
44317,16
44317,10759
44217,10759
44217,18
44217,10768
278600,99
204082,10764
56570,18
56570,10765
4601,18
42009,10765
42009,18
42009,9648
29602,16
32798,80
32798,18
32798,10759
2288,10759
2288,80
2288,18
5500,80
4589,35
94664,16
94664,10759
94664,10765
1622,18
1622,9648
1622,10765
5092,10764
5092,35
37288,10763
37288,10767
1433,16
1433,35
22980,10767
22980,35
60572,16
60572,10759
60572,10765
4604,10765
4604,10759
4604,18
44317,10765
44317,16
44317,10759
278996,18
278996,10765
278996,10759
44006,18
56570,18
56570,10765
42705,16
42705,35
42705,18
42705,10759
5920,80
5920,18
5920,9648
4601,18
29602,16
44217,10759
44217,18
44217,10768
58841,80
58841,18
63174,80
63174,10765
3452,35
3452,10751
94997,10765
94997,18
94997,10759
45790,16
45790,10759
45790,10765
40663,18
40663,80
40663,9648
273327,18
253905,18
253905,9648
22980,10767
22980,35
90228,10765
90228,18
90228,10759
4333,10759
4333,80
4333,18
4333,9648
77169,10759
77169,18
77169,35
82684,10759
82684,16
82684,10765
82684,35
911,10764
69050,80
69050,18
69050,9648
240411,16
240411,10759
240411,35
240411,10765
873,80
873,18
46195,16
46195,35
46195,18
46195,9648
30243,10767
225590,10751
225590,10766
2908,18
2908,10766
2593,80
2593,9648
2593,10759
2593,18
113962,18
113962,10768
253905,18
253905,9648
30,18
90228,10765
90228,18
90228,10759
1434,16
1434,35
3004,35
3004,18
4316,10768
4316,18
63770,35
63770,10767
41822,10764
46195,16
46195,35
46195,18
46195,9648
4583,18
4583,80
3469,35
3469,18
3469,10759
3469,80
2527,10766
2527,18
210865,10751
210865,18
75219,18
75219,80
75219,10759
56387,10759
56387,16
56387,10765
56387,18
2426,10765
2426,18
37288,10763
37288,10767
39351,18
39351,9648
39351,10765
60572,16
60572,10759
60572,10765
71790,80
71790,10759
71790,18
90,99
90,18
90,80
66732,18
66732,10765
66732,9648
66732,10759
655,10765
655,10759
655,18
655,9648
36,80
36,18
36,9648
36,10765
13805,99
4419,35
4419,10767
4384,99
4384,10763
4384,10767
218843,16
218843,10759
218843,10765
42705,16
42705,35
42705,18
42705,10759
5920,80
5920,18
5920,9648
32726,16
32726,35
4601,18
94605,16
94605,10765
94605,10759
94605,9648
94605,18
29602,16
46648,18
46648,9648
1431,80
1431,18
1431,9648
48866,10765
48866,18
48866,10759
90,99
90,18
90,80
48891,35
48891,80
240411,16
240411,10759
240411,35
240411,10765
61345,9648
61345,10759
61345,18
202879,10759
202879,10765
36,80
36,18
36,9648
36,10765
82873,10767
45782,16
45782,10765
45782,10759
66732,18
66732,10765
66732,9648
66732,10759
45247,16
45247,18
64196,16
64196,10765
64196,10759
32726,16
32726,35
13945,18
13945,10766
94605,16
94605,10765
94605,10759
94605,9648
94605,18
76075,16
76075,35
76075,10751
45783,16
45783,35
45783,18
67136,18
5371,35
5371,10762
23915,10767
30984,10759
30984,16
30984,10765
1419,18
1419,80
41018,80
46080,16
46080,10751
46080,10762
46080,35
39379,16
39379,10765
31132,16
31132,35
261791,18
261791,10751
261791,35
60585,9648
60585,18
60585,80
4013,35
4013,10751
4013,18
33238,35
33238,10764
37854,10759
37854,35
37854,16
41956,35
41956,80
41956,18
41956,9648
84791,35
84791,18
84791,10751
60797,10759
60797,18
60797,80
4018,10765
4018,10759
4018,18
39793,18
25707,35
25707,18
25707,16
42729,16
42729,10765
42729,10759
207333,18
207333,10765
42316,18
89393,18
89393,10759
89393,80
71912,10765
71912,18
71912,10759
2710,35
2625,18
2625,10751
49009,10751
49009,35
4385,10763
4385,35
764,80
764,18
764,9648
31654,16
31654,10759
31654,10765
31654,10762
50821,18
50821,10751
79593,10759
79593,18
79593,80
790,80
790,18
790,9648
4588,18
219937,80
219937,18
42410,10759
42410,16
42410,18
42410,9648
69158,18
1668,35
85552,18
97860,16
97860,9648
97860,10765
97860,10759
43017,16
43017,35
43017,18
4177,9648
4177,18
4177,80
119316,35
119316,18
119316,10751
46648,18
46648,9648
60059,80
60059,18
62223,10767
66515,18
66515,10759
83631,35
83631,10765
45140,16
45140,35
45140,10759
45140,10765
45140,10751
42573,16
42573,35
3253,35
43232,16
43232,35
43232,10759
67198,10765
67198,10759
67198,18
65334,10759
65334,16
65334,10762
6135,99
45937,9648
45937,10759
45937,35
45937,18
45952,10765
45952,10759
45952,16
45952,35
45952,18
62,10764
218843,16
218843,10759
218843,10765
1431,80
1431,18
1431,9648
953,35
953,37
994,80
994,9648
994,10759
994,18
1402,10759
1402,18
1402,10765
97951,18
97951,80
46298,16
46298,10759
46298,10765
60708,18
60708,80
60708,10765
66599,80
66599,18
66599,35
18165,18
18165,10765
67075,16
67075,10759
67075,35
67075,10765
42951,16
42951,18
46732,99
68398,18
76773,18
76773,10759
74016,18
67133,18
67133,10759
157741,18
61441,35
61441,16
61441,18
1911,80
1911,18
66627,9648
66627,18
66627,80
62688,18
62688,10765
62688,10759
66840,80
66840,18
66840,35
61852,35
61852,10751
61852,10762
61852,18
154,35
2224,10763
2224,35
61374,16
61374,18
61374,10765
46639,18
46639,9648
46639,10765
3137,18
3137,10765
3137,10759
69291,16
69291,35
69291,10765
46917,35
61440,10759
61440,16
61440,10765
65503,16
65503,35
65503,18
65503,10762
65503,10765
95205,80
95205,18
76669,80
76669,9648
76669,18
605,35
605,10751
605,10765
605,10762
40758,18
40758,80
39340,35
484,9648
484,80
484,18
62082,18
62715,16
62715,10759
62715,10765
61692,35
67136,18
4238,35
1620,18
1620,9648
1620,80
4500,35
4500,18
4500,10751
65701,35
41018,80
46080,16
46080,10751
46080,10762
46080,35
40905,80
39379,16
39379,10765
38464,16
38464,10765
38464,9648
38464,10759
87017,18
87017,80
43017,16
43017,35
43017,18
66599,80
66599,18
66599,35
61511,18
61511,80
61511,9648
242551,18
4013,35
4013,10751
4013,18
37854,10759
37854,35
37854,16
4414,10765
4414,18
4414,10759
84791,35
84791,18
84791,10751
3050,18
615,16
615,35
615,10765
22634,10759
22634,16
22634,18
22634,10765
22634,35
314,10765
314,10759
314,18
242876,18
2303,10759
2303,18
233643,16
890,10765
890,16
890,18
4556,35
80748,80
80748,10759
80748,18
62286,10759
62286,18
66550,10751
66550,10764
63639,18
63639,9648
63639,10765
65733,10759
65733,16
65733,35
65733,10765
65733,10762
65733,10751
13805,99
7897,35
7897,18
12786,9648
12786,18
84242,18
241002,16
62852,18
3452,35
3452,10751
43901,37
43901,80
43901,18
128839,10765
128839,18
128839,10759
65701,35
61418,35
61418,18
62560,80
62560,18
30669,16
30669,10759
30669,10765
153312,80
153312,18
154524,16
154524,35
154524,10759
154524,10765
4616,18
4616,10759
4616,10765
79061,16
79061,10759
79061,10751
79061,10762
79061,35
94372,80
94372,18
54344,10765
54344,18
32895,80
32895,18
32895,9648
273825,10766
273825,18
902,16
902,10762
902,10759
42444,16
42444,18
42444,10759
42444,10765
60694,10767
60694,35
60694,10763
64189,10767
4333,10759
4333,80
4333,18
4333,9648
61511,18
61511,80
61511,9648
71715,35
71715,18
71715,80
32651,35
63926,16
63926,35
63926,10759
4194,10759
4194,16
4194,10765
65336,16
65336,18
88939,10764
3626,10764
45844,10759
45844,16
45844,18
45844,10765
45844,10768
1620,18
1620,9648
1620,80
66585,18
245256,18
245256,80
4582,80
4582,18
4582,9648
8514,10764
62128,10764
62128,10751
62128,10767
62128,18
57911,10759
57911,16
57911,35
57911,10765
57911,10762
57911,10751
40905,80
32377,16
32377,18
32377,10765
84910,10764
30695,18
52814,10765
52814,10759
4397,10759
4397,35
4397,80
1447,35
1447,18
1447,9648
1447,80
4515,10759
4515,18
4515,10765
4515,35
95603,10768
95603,10759
95603,18
91801,16
91801,35
91801,10765
91801,10759
76331,18
76331,35
1400,35
4630,16
4630,35
4630,10765
4630,10762
100757,10759
100757,18
100757,9648
11890,10766
256059,10764
46296,18
242977,18
45502,16
45502,10759
45502,10765
3772,10759
3772,18
3772,37
3772,80
82591,16
82591,10759
82591,10765
12415,10766
61434,16
61434,35
61434,9648
61434,10759
79141,16
79141,35
79141,10759
79141,10765
69478,18
69478,10765
261579,16
261579,10765
261579,10759
578,80
578,18
578,9648
2122,16
2122,35
2122,10751
76773,18
76773,10759
61441,35
61441,16
61441,18
61381,35
47640,10765
47640,18
47640,9648
2585,80
2585,18
2585,35
61387,10759
61387,18
61387,35
46923,80
46923,18
46923,9648
65270,10767
14210,80
66627,9648
66627,18
66627,80
31910,16
31910,10759
31910,10765
1973,10759
1973,18
1973,80
1981,35
1981,18
1981,9648
1981,10765
61889,80
