id,name,popularity,overview,first_air_date,poster_path
206559,Binnelanders,3736.719,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",2005-10-13,https://image.tmdb.org/t/p/w500/3bzECfllho8PphdYujLUIuhncJD.jpg
93405,Squid Game,3138.471,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021-09-17,https://image.tmdb.org/t/p/w500/dDlEmu3EZ0Pgg93K2SVNLCjCSvE.jpg
94722,Tagesschau,2713.543,"German daily news program, the oldest still existing program on German television.",1952-12-26,https://image.tmdb.org/t/p/w500/7dFZJ2ZJJdcmkp05B9NWlqTJ5tq.jpg
2734,Law & Order: Special Victims Unit,2186.013,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",1999-09-20,https://image.tmdb.org/t/p/w500/abWOCrIo7bbAORxcQyOFNJdnnmR.jpg
257048,Garota do Momento,2110.602,,2024-11-04,https://image.tmdb.org/t/p/w500/jFSkjQSZ5Td52igalpoTQRuHtk.jpg
251691,Autumn of the Heart,2103.202,"A devastating car accident unearths a long-buried secret that turns wealthy businessman Rashid and hardworking Nahla's life around; fifteen years ago, their daughters were switched at birth.",2024-10-27,https://image.tmdb.org/t/p/w500/8uDmIxjBx90y5OCwJDBADtQzxb7.jpg
257064,Volta por Cima,2100.476,,2024-09-30,https://image.tmdb.org/t/p/w500/nyN8R0P1Hqwq7ksJz4O2BIAUd4W.jpg
205582,Brisant,1893.032,,1994-01-03,https://image.tmdb.org/t/p/w500/mzxp9rTCepnSe8wl0GzZLave9bd.jpg
274717,MDR aktuell,1886.759,,2021-02-04,https://image.tmdb.org/t/p/w500/u2on02K66lrXULRlJryBwm3BX1c.jpg
13008,TMZ,1868.98,"Based on the popular gossip website, this entertainment newsmagazine delivers daily updates on Hollywood's rich, beautiful and screwed-up. The program often shows highlights of the day's staff meeting during which reporters pitch ideas for stories to air that day.",2007-09-10,https://image.tmdb.org/t/p/w500/ifFpUG51DJaQxwnZ35VwoGRFGGv.jpg
112470,Ici tout commence,1842.068,"This television drama series is centered around the prestigious culinary school of renowned chef Auguste Armand. The show follows the lives of students and staff as they navigate the challenges and pressures of the culinary world—delving into their personal and professional lives, revealing secrets, rivalries, and complex relationships.",2020-11-02,https://image.tmdb.org/t/p/w500/v7nXPo2zdaIOfeIaERiOuTEt89N.jpg
237478,Crazy About You,1816.097,"The story begins with the ambiguous relationship between friends Viola and Luma, who seem predestined to literally enter each other's lives. Born on the same day, in very different situations, they meet years later, united by coincidences that go beyond their birthday. From humble origins, Viola moves with her boyfriend Mavi to Angra dos Reis, where Luma lives a luxurious life and dates Rudá, who ends up meeting Viola by chance. Thus begins the duo's journey, which goes from a passion for recipes to an obsession with the same man, from the immediate connection to the point of starting to live their friend’s reality, 10 years later. A journey divided between complicity and rivalry, which includes them in a love quadrangle and is impacted by a series of circumstances, twists and surprises, such as the secret surrounding a murder.",2024-09-09,https://image.tmdb.org/t/p/w500/cRMofv8YC4F1WnpF7cIqMpwSnwh.jpg
242722,Shrimad Ramayan,1773.407,"Shrimad Ramayan is an ambitious television series that brings to life the timeless epic, the Ramayan, with a deep commitment to authenticity, cultural reverence and a contemporary sensibility.",2024-01-22,https://image.tmdb.org/t/p/w500/aCDK83ykQYnQGFOTfiLjnoqXv1b.jpg
278181,Hessenschau,1754.196,,1961-07-30,https://image.tmdb.org/t/p/w500/7UZNF63NrEk8k6warEWgg3OLwGW.jpg
249010,Kelders van Geheime,1682.589,"Kelders van Geheime (Cellars of Secrets) is a South African, Afrikaans-language telenovela based on the wheeling's and dealings of the community that lives on Soebatskloof (a wine farm in the Cape). The series focuses on three families: the Abrahams, Syster and Marais households. These families will have to stand together, agree (or agree to disagree), and work together to earn their bread and butter – and a glass of wine.",2024-05-06,https://image.tmdb.org/t/p/w500/vf1I0G5jICTstI1EXxb9Oqq80TU.jpg
91363,What If...?,1670.462,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments.",2021-08-11,https://image.tmdb.org/t/p/w500/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg
